show_id,season_number
"s866","1"
"s867","1"
"s868","1"
"s869","1"
"s870","1"
"s870","2"
"s871","1"
"s872","1"
"s873","1"
"s874","1"
"s875","1"
"s876","1"
"s877","1"
"s878","1"
"s879","1"
"s880","1"
"s881","1"
"s881","2"
"s881","3"
"s882","1"
"s883","1"
"s884","1"
"s884","2"
"s885","1"
"s886","1"
"s887","1"
"s888","1"
"s889","1"
"s890","1"
"s891","1"
"s891","2"
"s891","3"
"s891","4"
"s892","1"
"s893","1"
"s894","1"
"s895","1"
"s896","1"
"s897","1"
"s898","1"
"s899","1"
"s900","1"
"s901","1"
"s902","1"
"s903","1"
"s904","1"
"s905","1"
"s906","1"
"s907","1"
"s908","1"
"s909","1"
"s910","1"
"s911","1"
"s912","1"
"s912","2"
"s913","1"
"s914","1"
"s915","1"
"s916","1"
"s917","1"
"s918","1"
"s919","1"
"s920","1"
"s921","1"
"s921","2"
"s922","1"
"s922","2"
"s922","3"
"s923","1"
"s924","1"
"s924","2"
"s925","1"
"s926","1"
"s926","2"
"s927","1"
"s928","1"
"s928","2"
"s929","1"
"s930","1"
"s931","1"
"s932","1"
"s933","1"
"s934","1"
"s935","1"
"s936","1"
"s937","1"
"s938","1"
"s939","1"
"s940","1"
"s941","1"
"s942","1"
"s943","1"
"s944","1"
"s945","1"
"s946","1"
"s947","1"
"s948","1"
"s949","1"
"s950","1"
"s951","1"
"s952","1"
"s953","1"
"s954","1"
"s955","1"
"s956","1"
"s957","1"
"s958","1"
"s959","1"
"s960","1"
"s961","1"
"s962","1"
"s963","1"
"s964","1"
"s964","2"
"s965","1"
"s966","1"
"s967","1"
"s968","1"
"s969","1"
"s970","1"
"s971","1"
"s972","1"
"s973","1"
"s974","1"
"s975","1"
"s976","1"
"s977","1"
"s978","1"
"s979","1"
"s980","1"
"s981","1"
"s982","1"
"s983","1"
"s984","1"
"s985","1"
"s986","1"
"s987","1"
"s988","1"
"s989","1"
"s990","1"
"s991","1"
"s992","1"
"s993","1"
"s994","1"
"s995","1"
"s996","1"
"s997","1"
"s998","1"
"s999","1"
"s1000","1"
"s1001","1"
"s1002","1"
"s1003","1"
"s1004","1"
"s1005","1"
"s1005","2"
"s1006","1"
"s1007","1"
"s1008","1"
"s1009","1"
"s1010","1"
"s1011","1"
"s1012","1"
"s1013","1"
"s1013","2"
"s1014","1"
"s1015","1"
"s1015","2"
"s1015","3"
"s1016","1"
"s1017","1"
"s1018","1"
"s1019","1"
"s1020","1"
"s1021","1"
"s1022","1"
"s1023","1"
"s1024","1"
"s1025","1"
"s1026","1"
"s1027","1"
"s1028","1"
"s1029","1"
"s1030","1"
"s1031","1"
"s1032","1"
"s1033","1"
"s1034","1"
"s1035","1"
"s1036","1"
"s1037","1"
"s1038","1"
"s1039","1"
"s1040","1"
"s1041","1"
"s1042","1"
"s1043","1"
"s1044","1"
"s1044","2"
"s1044","3"
"s1044","4"
"s1044","5"
"s1044","6"
"s1044","7"
"s1045","1"
"s1046","1"
"s1047","1"
"s1048","1"
"s1049","1"
"s1049","2"
"s1049","3"
"s1050","1"
"s1051","1"
"s1052","1"
"s1052","2"
"s1053","1"
"s1054","1"
"s1055","1"
"s1056","1"
"s1057","1"
"s1058","1"
"s1059","1"
"s1060","1"
"s1060","2"
"s1060","3"
"s1060","4"
"s1060","5"
"s1060","6"
"s1061","1"
"s1062","1"
"s1063","1"
"s1064","1"
"s1065","1"
"s1066","1"
"s1066","2"
"s1066","3"
"s1067","1"
"s1068","1"
"s1069","1"
"s1070","1"
"s1071","1"
"s1072","1"
"s1073","1"
"s1074","1"
"s1075","1"
"s1076","1"
"s1077","1"
"s1078","1"
"s1079","1"
"s1080","1"
"s1081","1"
"s1082","1"
"s1082","2"
"s1082","3"
"s1082","4"
"s1083","1"
"s1084","1"
"s1085","1"
"s1086","1"
"s1087","1"
"s1088","1"
"s1089","1"
"s1090","1"
"s1091","1"
"s1092","1"
"s1093","1"
"s1094","1"
"s1094","2"
"s1095","1"
"s1096","1"
"s1097","1"
"s1098","1"
"s1099","1"
"s1100","1"
"s1101","1"
"s1102","1"
"s1103","1"
"s1104","1"
"s1105","1"
"s1106","1"
"s1107","1"
"s1108","1"
"s1109","1"
"s1110","1"
"s1111","1"
"s1112","1"
"s1113","1"
"s1114","1"
"s1115","1"
"s1116","1"
"s1117","1"
"s1118","1"
"s1119","1"
"s1120","1"
"s1121","1"
"s1122","1"
"s1123","1"
"s1124","1"
"s1124","2"
"s1125","1"
"s1126","1"
"s1126","2"
"s1127","1"
"s1128","1"
"s1128","2"
"s1129","1"
"s1130","1"
"s1130","2"
"s1131","1"
"s1132","1"
"s1133","1"
"s1134","1"
"s1135","1"
"s1136","1"
"s1137","1"
"s1138","1"
"s1139","1"
"s1140","1"
"s1141","1"
"s1142","1"
"s1143","1"
"s1144","1"
"s1145","1"
"s1146","1"
"s1147","1"
"s1148","1"
"s1149","1"
"s1149","2"
"s1150","1"
"s1151","1"
"s1152","1"
"s1153","1"
"s1154","1"
"s1155","1"
"s1156","1"
"s1157","1"
"s1158","1"
"s1159","1"
"s1159","2"
"s1159","3"
"s1159","4"
"s1160","1"
"s1161","1"
"s1162","1"
"s1163","1"
"s1164","1"
"s1165","1"
"s1166","1"
"s1167","1"
"s1168","1"
"s1169","1"
"s1170","1"
"s1171","1"
"s1172","1"
"s1173","1"
"s1174","1"
"s1174","2"
"s1174","3"
"s1174","4"
"s1174","5"
"s1174","6"
"s1175","1"
"s1176","1"
"s1177","1"
"s1178","1"
"s1179","1"
"s1180","1"
"s1180","2"
"s1180","3"
"s1180","4"
"s1181","1"
"s1181","2"
"s1182","1"
"s1183","1"
